"gen_sp","collectioncode","catalognumber","collector","collectornumber","country","stateprovince"
"Mimosa distachya","LL","00230208","H. et al.",NA,"Mexico","Guerrero"
"Mimosa setuliseta","LL","00230554","J. A. Villareal Q.",NA,"Mexico","Durango"
"Mimosa distachya","TEX","00230203","T. R. van Devender; D. A. Yetman; R. Lopez E.",NA,"Mexico","Sonora"
"Mimosa distachya","TEX","00230209","J. García P.; A. Delgado S.",NA,"Mexico","Veracruz de ignacio de la llave"
"Mimosa pauli","TEX","00230768","T. R. van Devender; A. L. Reina G.; D. Larson; P. Merlín; M. J. Martínez C.",NA,"Mexico","Sonora"
"Mimosa arenosa var. lysalgica","NY","00933265","G. G. Hatschbach","54947","Brazil","Minas Gerais"
"Mimosa hypoglauca var. syncollandra","NY","2863","H. S. Irwin","32043","Brazil","Goiás"
"Mimosa xanthocentra var. xanthocentra","NY","00749017","C. A. Cid Ferreira","4627","Brazil","Rondônia"
"Mimosa radula var. radula","NY","00957711","M. M. Arbo","3797","Brazil","Goiás"
"Mimosa somnians var. leptocaulis","NY","00935838","M. M. Arbo","3628","Brazil","Goiás"
"Mimosa pudica var. tetrandra","NY","01452602","S. R. Hill","17732","Costa Rica","Cartago"
"Mimosa somnians var. leptocaulis","NY","00935843","H. S. Irwin","11105","Brazil","Distrito Federal"
"Mimosa albida var. pochutlensis","NY","01452426","N. Velázquez R.","470","Mexico","Oaxaca"
"Mimosa occidentalis var. novogaliciana","NY","551098","J. Rzedowski","s.n.","Mexico","Jalisco"
"Mimosa insidiosa","NY","442531","F. C. Hoehne","50","Brazil","São Paulo"
"Mimosa microcephala var. communis","NY","01345943","J. A. Steyermark","34","Venezuela","Bolívar"
"Mimosa pigra var. pigra","NY","01346555","J. A. Steyermark","131475","Venezuela","Amazonas"
"Mimosa myriadenia var. myriadenia","NY","01346067","H. ter Steege","547","Guyana",NA
"Mimosa schrankioides var. sagotiana","NY","01347030","W. A. Ducke","1603","Brazil","Amazonas"
"Mimosa distans subsp. distans","NY","00933061","H. S. Irwin","27166","Brazil","Minas Gerais"
"Mimosa quadrivalvis var. angustata","NY","01453313","L. N. Johnson","s.n.","United States","North Carolina"
"Mimosa pigra var. pigra","NY","01346416","M. J. G. Hopkins","570","Brazil","Roraima"
"Mimosa guilandinae var. spruceana","NY","01345768","G. T. Prance","3871","Brazil","Amazonas"
"Mimosa hirsutissima var. hirsutissima","NY","00933538","H. S. Irwin","23004","Brazil","Minas Gerais"
"Mimosa guilandinae var. extensissima","NY","01345737","A. H. Gentry","63275","Peru","Pasco"
"Mimosa guilandinae var. spruceana","NY","01345781","L. O. A. Teixeira","886","Brazil","Amazonas"
