"","X","taxon","cen.dna","cen.silica","mimobaits","nit.fix","nit.fix.dna","country","state"
"1",1,"Piptadeniastrum",NA,NA,NA,NA,NA,NA,NA
"2",2,"Piptadenia",NA,NA,NA,NA,NA,NA,NA
"3",3,"Mimosa",NA,NA,NA,NA,NA,NA,NA
"4",4,"Neptunia",NA,NA,NA,NA,NA,NA,NA
"5",5,"Adenopodia",NA,NA,NA,NA,NA,NA,NA
"6",6,"Piptadenia santosii",NA,NA,NA,NA,NA,NA,NA
"7",7,"Piptadenia imatacae",NA,NA,NA,NA,NA,NA,NA
"8",8,"Piptadenia laxipinna",NA,NA,NA,NA,NA,NA,NA
"9",9,"Piptadenia floribunda",NA,NA,NA,NA,NA,NA,NA
"10",10,"Piptadenia amazonica",NA,NA,NA,NA,NA,NA,NA
"11",11,"Piptadenia uliginosa",NA,NA,NA,NA,NA,NA,NA
"12",12,"Piptadenia anolidurus",NA,NA,NA,NA,NA,NA,NA
"13",13,"Piptadenia weberbaueri",NA,NA,NA,NA,NA,NA,NA
"14",14,"Piptadenia cuzcoensis",NA,NA,NA,NA,NA,NA,NA
"15",15,"Piptadenia irwinii",NA,NA,NA,NA,NA,NA,NA
"16",16,"Piptadenia micracantha",NA,NA,NA,NA,NA,NA,NA
"17",17,"Piptadenia retusa",NA,NA,NA,NA,NA,NA,NA
"18",18,"Piptadenia ramosissima",NA,NA,NA,NA,NA,NA,NA
"19",19,"Piptadenia minutiflora",NA,NA,NA,NA,NA,NA,NA
"20",20,"Piptadenia boliviana",NA,NA,NA,NA,NA,NA,NA
"21",21,"Piptadenia voronoffii",NA,NA,NA,NA,NA,NA,NA
"22",22,"Piptadenia peruviana",NA,NA,NA,NA,NA,NA,NA
"23",23,"Piptadenia pteroclada",NA,NA,NA,NA,NA,NA,NA
"24",24,"Piptadenia affinis",NA,NA,NA,NA,NA,NA,NA
"25",25,"Piptadenia killipii",NA,NA,NA,NA,NA,NA,NA
"26",26,"Mimosa guaiaguilensis",NA,NA,NA,NA,NA,NA,NA
"27",27,"Mimosa rhombifolia",NA,NA,NA,NA,NA,NA,NA
"28",28,"Mimosa ouyrarema",NA,NA,NA,NA,NA,NA,NA
"29",29,"Mimosa pilosa",NA,NA,NA,NA,NA,NA,NA
"30",30,"Mimosa trinervis",NA,NA,NA,NA,NA,NA,NA
"31",31,"Mimosa rhodacantha",NA,NA,NA,NA,NA,NA,NA
"32",32,"Mimosa natans",NA,NA,NA,NA,NA,NA,NA
"33",33,"Mimosa fruticosa",NA,NA,NA,NA,NA,NA,NA
"34",34,"Mimosa dichotoma",NA,NA,NA,NA,NA,NA,NA
"35",35,"Mimosa diadema",NA,NA,NA,NA,NA,"Peru.Brazil","Rio de Janeiro"
"36",36,"Mimosa chrysantha",NA,NA,NA,NA,NA,"Brazil","Minas Gerais"
"37",37,"Mimosa lentiscifolia",NA,NA,NA,NA,NA,"Brazil","Rio Grande do Sul"
"38",38,"Mimosa barrancana",NA,NA,NA,NA,NA,"Mexico","Durango"
"39",39,"Mimosa fagaracantha",NA,NA,NA,NA,NA,"Cuba",NA
"40",40,"Mimosa longiracemosa",NA,NA,NA,NA,NA,"Brazil.Argentina","Distrito Federal.Misiones"
"41",41,"Mimosa detonsa",NA,NA,NA,NA,NA,"Brazil","Goiás"
"42",42,"Mimosa parvifoliolata",NA,NA,NA,NA,NA,NA,NA
"43",43,"Mimosa kitrokala",NA,NA,NA,NA,NA,"Madagascar","Toliara"
"44",44,"Mimosa australis",NA,NA,NA,NA,NA,"Uruguay",NA
"45",45,"Mimosa epitropica",NA,NA,NA,NA,NA,"Mexico","Baja california sur.Baja California Sur"
"46",46,"Mimosa tucumensis",NA,NA,NA,NA,NA,"Brazil","Paraná.Bahia"
"47",47,"Mimosa widgrenii",NA,NA,NA,NA,NA,"Brazil",NA
"48",48,"Mimosa altoparanensis",NA,NA,NA,NA,NA,"Paraguay.Brazil","Caazapá.Canindeyú.Alto Paraná.Santa Catarina"
"49",49,"Mimosa chochisensis",NA,NA,NA,NA,NA,"Bolivia",NA
"50",50,"Mimosa asperoides",NA,NA,NA,NA,NA,"Brazil","Rs.Rio Grande do Sul"
"51",51,"Mimosa dupuyana",NA,NA,NA,NA,NA,"Madagascar","Toliara.atsimo-andrefana"
"52",52,"Mimosa lemniscata",NA,NA,NA,NA,NA,"Colombia","Magdalena"
"53",53,"Mimosa brevipes",NA,NA,NA,NA,NA,"Paraguay.Brazil","Mato Grosso do Sul.Amambay.Minas Gerais.Mato Grosso"
"54",54,"Mimosa haavoa",NA,NA,NA,NA,NA,"Madagascar","Toamasina.Toliara"
"55",55,"Mimosa cubatanensis",NA,NA,NA,NA,NA,"Brazil","Distrito Federal.Paraná.Rio de Janeiro.Espírito Santo.Rj.São Paulo"
"56",56,"Mimosa puberula",NA,NA,NA,NA,NA,"Mexico","Queretaro.Queretaro de arteaga.Hidalgo"
"57",57,"Mimosa eriocarpa",NA,NA,NA,NA,NA,"Brazil","Rio Grande do Sul.Santa Catarina.Rs.Mato Grosso do Sul"
"58",58,"Mimosa tetragona",NA,NA,NA,NA,NA,"Equador.Nicaragua.Brazil.Mexico","Pastaza.Atlántico Sur.Ms.Mato Grosso do Sul.San luis potosi"
"59",59,"Mimosa diplacantha",NA,NA,NA,NA,NA,"Dominican Republic.Jamaica","Pedernales.Dominican Republic.Azua.Independencia"
"60",60,"Mimosa exalbescens",NA,NA,NA,NA,NA,"Brazil","Bahia.Maranhão.Pernambuco.Minas Gerais"
"61",61,"Mimosa centurionis",NA,NA,NA,NA,NA,"Paraguay.Brazil","Mato Grosso do Sul"
"62",62,"Mimosa jaenensis",NA,NA,NA,NA,NA,"Peru","Cajamarca"
"63",63,"Mimosa intricata",NA,NA,NA,NA,NA,"Brazil","Paraná.Rio Grande do Sul"
"64",64,"Mimosa implexa",NA,NA,NA,NA,NA,"Uruguay.Brazil","Tacuarembó.Rio Grande do Sul"
"65",65,"Mimosa ramentacea",NA,NA,NA,NA,NA,"Brazil","Santa Catarina.Sc.Paraná"
"66",66,"Mimosa hypnodes",NA,NA,NA,NA,NA,"Brazil","Goiás"
"67",67,"Mimosa sobralii",NA,NA,NA,NA,NA,"Brazil","Rio Grande do Sul.Rs"
"68",68,"Mimosa mitzi",NA,NA,NA,NA,NA,"Brazil","Minas Gerais"
"69",69,"Mimosa cordobensis",NA,NA,NA,NA,NA,"Argentina","Córdoba"
"70",70,"Mimosa aureliana",NA,NA,NA,NA,NA,"Paraguay.Brazil","Rio Grande do Sul"
"71",71,"Mimosa leptantha",NA,NA,NA,NA,NA,"Brazil","Ceará.Paraíba.Rio Grande do Norte.Piauí"
"72",72,"Mimosa setistipula",NA,NA,NA,NA,NA,"Brazil","Minas Gerais.São Paulo"
"73",73,"Mimosa brachystachya",NA,NA,NA,NA,NA,"Brazil",NA
"74",74,"Mimosa lundiana",NA,NA,NA,NA,NA,"Brazil","São Paulo"
"75",75,"Mimosa rocae",NA,NA,NA,NA,NA,"Argentina.Brazil","Buenos Aires.Entre Ríos.Rs.Rio Grande do Sul"
"76",76,"Mimosa caccavariana",NA,NA,NA,NA,NA,"Brazil","Goiás.Go"
"77",77,"Mimosa struthionoptera",NA,NA,NA,NA,NA,"Brazil","Goiás"
"78",78,"Mimosa hirsuticaulis",NA,NA,NA,NA,NA,"Brazil","Bahia"
"79",79,"Mimosa setuliseta",NA,NA,NA,NA,NA,"Mexico","Durango.Coahuila de zaragoza"
"80",80,"Mimosa porrecta",NA,NA,NA,NA,NA,"Brazil","Rio de Janeiro.2049.Minas Gerais.Rj.São Paulo"
"81",81,"Mimosa alleniana",NA,NA,NA,NA,NA,"Brazil.Paraguay.Bolivia","Mato Grosso do Sul.São Paulo.Sp.Amambay.Santa Cruz.Goiás.Ms"
"82",82,"Mimosa surumuensis",NA,NA,NA,NA,NA,"Guyana.Brazil.Venezuela","Upper Takutu-Upper Essequibo.U. Takutu-U. Essequibo.Potaro-Siparuni.Amazonas.Roraima"
"83",83,"Mimosa vexans",NA,NA,NA,NA,NA,"Venezuela","Yaracuy"
"84",84,"Mimosa decumbens",NA,NA,NA,NA,NA,"Brazil","Minas Gerais"
"85",85,"Mimosa itatiaiensis",NA,NA,NA,NA,NA,"Brazil","Rio de Janeiro.Minas Gerais"
"86",86,"Mimosa cuzcoana",NA,NA,NA,NA,NA,"Peru","Cusco.Cuzco"
"87",87,"Mimosa bombycina",NA,NA,NA,NA,NA,"Brazil","Minas Gerais"
"88",88,"Mimosa glabra",NA,NA,NA,NA,NA,"Brazil","Rio Grande do Sul"
"89",89,"Mimosa nossibiensis",NA,NA,NA,NA,NA,"Madagascar","mahajanga.Mahajanga.Antsiranana.Toliara.Mahajanga (Majunga)"
"90",90,"Mimosa chaetosphaera",NA,NA,NA,NA,NA,"Brazil","Mato Grosso do Sul.São Paulo.Paraná.Mato Grosso.Sc.Ms.Santa Catarina.Rio Grande do Sul"
"91",91,"Mimosa simplicissima",NA,NA,NA,NA,NA,"Colombia.Bolivia","Norte de Santander.El Beni.Meta"
"92",92,"Mimosa dumetaria",NA,NA,NA,NA,NA,"Madagascar","Toliara"
